language,watchers_count,open_issues_count,commit_count,contributors_count,stars_count,forks_count,size,days_since_last_commit,source_code_url,owner,repo
C++,67,22,2344,15,67,43,37031,50,https://github.com/hyle-team/zano,hyle-team,zano
Solidity,0,0,15,0,0,0,1596,103,https://github.com/sleepy-sloth-finance/sleepysloth-token,sleepy-sloth-finance,sleepysloth-token
"",134,3,298,10,134,37,2617,0,https://github.com/pickle-finance/contracts,pickle-finance,contracts
"",0,0,0,0,0,0,0,2459602,https://github.com/portifyio/portify,portifyio,portify
C++,23,1,16136,351,23,7,92382,4,https://github.com/bitc2/bitcoin2,bitc2,bitcoin2
C#,0,0,32,0,0,0,47697,22,https://github.com/defination-pte-ltd/ageoftanks,defination-pte-ltd,ageoftanks
C++,1,0,2,0,1,1,6484,593,https://github.com/bonoproject/bonorum,bonoproject,bonorum
Solidity,30,0,20,2,30,14,2536,318,https://github.com/oinfinance/oin,oinfinance,oin
C++,501,19,3525,13,501,76,35704,1,https://github.com/orchidtechnologies/orchid,orchidtechnologies,orchid
Solidity,1,6,39,3,1,5,3358,640,https://github.com/kmpards/eraswapsmartcontracts,kmpards,eraswapsmartcontracts
"",4,0,3,0,4,9,4,1118,https://github.com/888tron/contracts,888tron,contracts
C++,3,2,9,0,3,3,6740,1573,https://github.com/bluecoiner/bluecoin-new,bluecoiner,bluecoin-new
C++,38,0,4438,109,38,20,146439,2,https://github.com/iocoin/dions,iocoin,dions
Vue,29,0,118,2,29,6,9722,186,https://github.com/helmet-insure/helmet-insure.github.io,helmet-insure,helmet-insure.github.io
JavaScript,7,0,100,0,7,2,1354,45,https://github.com/omegasyndicate/dex,omegasyndicate,dex
"",0,0,0,0,0,0,0,2459602,https://github.com/ruxiol/rxcg-landingpage,ruxiol,rxcg-landingpage
C++,7,3,33,0,7,3,6055,1195,https://github.com/emrals/emrals,emrals,emrals
"",1,0,1,0,1,3,1,316,https://github.com/uswap-exchange/ume,uswap-exchange,ume
"",4,0,3,0,4,9,4,1118,https://github.com/888tron/contracts,888tron,contracts
C++,14,1,70,3,14,13,14015,68,https://github.com/digiwage/digiwage,digiwage,digiwage
Solidity,0,0,1,0,0,0,8,60,https://github.com/bscm/bscm,bscm,bscm
"",0,0,1,0,0,0,2,318,https://github.com/invitree/invi-source-code,invitree,invi-source-code
"",1,0,1,0,1,0,2,534,https://github.com/polluxcoin2020/pox,polluxcoin2020,pox
Solidity,11,1,6,0,11,1,6,91,https://github.com/lunapad/lunapad-token-contract,lunapad,lunapad-token-contract
"",0,0,6,0,0,0,307,524,https://github.com/homihelp/smart-contract,homihelp,smart-contract
JavaScript,20,13,7,2,20,21,3419,351,https://github.com/paxosglobal/paxos-gold-contract,paxosglobal,paxos-gold-contract
C++,534,15,18004,322,534,255,77289,58,https://github.com/bitcoin-sv/bitcoin-sv,bitcoin-sv,bitcoin-sv
C++,2,0,13,0,2,0,10745,248,https://github.com/ecodollar/ecodollar,ecodollar,ecodollar
TypeScript,0,0,3,2,0,0,108,1021,https://github.com/yem583/dogdata,yem583,dogdata
"",1,0,2,0,1,0,2,1070,https://github.com/coinloan/coinloantoken,coinloan,coinloantoken
Solidity,1,0,4,0,1,0,11,83,https://github.com/infomatixdev/infomatix,infomatixdev,infomatix
TypeScript,0,0,8,0,0,2,3070,112,https://github.com/nasdex/nasdex,nasdex,nasdex
Solidity,10,0,15,2,10,10,242,219,https://github.com/dopplefinance/dopple-contract,dopplefinance,dopple-contract
"",3,0,20,2,3,6,45,1335,https://github.com/tokpie/tokpie-contract,tokpie,tokpie-contract
C++,8,2,15644,352,8,6,115690,523,https://github.com/ivansib/sibcoin,ivansib,sibcoin
Solidity,5,0,28,3,5,7,667,192,https://github.com/nftlootbox/contracts,nftlootbox,contracts
JavaScript,0,6,28,3,0,0,34274,677,https://github.com/digitalbioexchange/lbxctoken,digitalbioexchange,lbxctoken
Solidity,0,0,9,0,0,1,61,219,https://github.com/nexo01/zeronauts,nexo01,zeronauts
Solidity,0,0,1,0,0,0,10,51,https://github.com/moonlift/moonlift,moonlift,moonlift
HTML,42,1,192,3,42,15,14829,270,https://github.com/sora-xor/polkaswap-web,sora-xor,polkaswap-web
Solidity,10,1,3,0,10,6,10,288,https://github.com/darwin-sudo/evolution,darwin-sudo,evolution
C++,114,14,23833,354,114,37,132476,74,https://github.com/emercoin/emercoin,emercoin,emercoin
Shell,0,0,2,2,0,0,26735,747,https://github.com/dmtc-chain/dmtc-chain,dmtc-chain,dmtc-chain
C++,44,32,11830,301,44,68,264039,88,https://github.com/phoreproject/phore,phoreproject,phore
"",0,0,2,0,0,0,1,156,https://github.com/terraworld/terraworld,terraworld,terraworld
C++,20,0,70,4,20,12,3629,351,https://github.com/nevacoin/nevacoin,nevacoin,nevacoin
"",0,0,0,0,0,0,0,2459602,https://github.com/xptx/platinumbar,xptx,platinumbar
"",0,0,0,0,0,0,0,2459602,https://github.com/tokenmarketnet/ico,tokenmarketnet,ico
"",0,0,0,0,0,0,0,2459602,https://github.com/mznrahi786/yfdai,mznrahi786,yfdai
"",0,0,0,0,0,0,0,2459602,https://github.com/idexio/idex,idexio,idex
C++,118,18,32103,338,118,112,114689,562,https://github.com/jl777/komodo,jl777,komodo
C++,6,1,2,0,6,0,1380,1365,https://github.com/atccoinofficial/atcc,atccoinofficial,atcc
C++,0,0,4,0,0,0,6231,327,https://github.com/dequant-project/dequant,dequant-project,dequant
"",6,2,7,0,6,1,9,508,https://github.com/carrotfinance/carrot-finance,carrotfinance,carrot-finance
C++,7,0,25,2,7,7,10724,627,https://github.com/ragnaproject/ragnarok,ragnaproject,ragnarok
"",20,0,27,0,20,2,8428,3,https://github.com/0xguard-com/audit-reports,0xguard-com,audit-reports
C++,0,0,25,0,0,3,30236,1952,https://github.com/dollarcoins/source,dollarcoins,source
Solidity,0,0,5,0,0,0,23,417,https://github.com/zenisreality/rap-erc20-token,zenisreality,rap-erc20-token
"",0,0,4187,395,0,0,119728,486,https://github.com/cobak-dev/token-profile,cobak-dev,token-profile
"",3580,2,1,0,3580,2037,1,397,https://github.com/binance-exchange/binance-official-api-docs,binance-exchange,binance-official-api-docs
Solidity,0,0,2,0,0,0,5,67,https://github.com/giftbagtoken/bnb,giftbagtoken,bnb
C++,0,0,32,4,0,0,4469,638,https://github.com/zastil/unify-source,zastil,unify-source
Vue,8,15,80,0,8,3,4565,868,https://github.com/bitsongofficial/bitsong-explorer,bitsongofficial,bitsong-explorer
"",0,0,20,0,0,1,291,537,https://github.com/equusprotocol/equus,equusprotocol,equus
C++,1,0,42,0,1,1,26154,264,https://github.com/putincoinput/putincoin,putincoinput,putincoin
Python,6,0,202,2,6,2,970,52,https://github.com/niftsy/niftsysmarts,niftsy,niftsysmarts
"",1,0,6,0,1,0,7,1474,https://github.com/x8currency-project/x8currencysmartcontracts,x8currency-project,x8currencysmartcontracts
JavaScript,1,0,2,0,1,2,330,107,https://github.com/crypto-banking-alliance/cprx,crypto-banking-alliance,cprx
C++,136,31,20243,349,136,51,247022,52,https://github.com/gulden/gulden-official,gulden,gulden-official
JavaScript,2,0,4,0,2,1,341,1291,https://github.com/ticnetwork/tic-token,ticnetwork,tic-token
Solidity,0,0,1,0,0,0,2170,100,https://github.com/everfight1/everfight,everfight1,everfight
C++,61343,1000,32319,362,61343,31338,194761,2,https://github.com/bitcoin/bitcoin,bitcoin,bitcoin
C++,1,1,29992,359,1,3,153467,96,https://github.com/fujicoin/fujicoin,fujicoin,fujicoin
"",0,0,1,0,0,0,7,681,https://github.com/digita-entertainment-asset/dep,digita-entertainment-asset,dep
"",1,0,113,7,1,0,3748,400,https://github.com/sparkpointio/venus-protocol,sparkpointio,venus-protocol
Solidity,0,0,49,2,0,0,575,89,https://github.com/mx-samurai/mx-samurai-token,mx-samurai,mx-samurai-token
"",0,0,0,0,0,0,0,2459602,https://github.com/santaflokibsc/santafloki,santaflokibsc,santafloki
C++,10,8,18467,357,10,13,100375,997,https://github.com/xpc-wg/xpchain,xpc-wg,xpchain
"",6,1,11,0,6,3,10753,664,https://github.com/swftcoins/swftcoin,swftcoins,swftcoin
"",0,0,0,0,0,0,0,2459602,https://github.com/fairlunar/flunar,fairlunar,flunar
"",2,0,2,0,2,4,1,833,https://github.com/stcoins/husd,stcoins,husd
JavaScript,44,20,198,4,44,20,39195,1005,https://github.com/blockcollider/bcnode,blockcollider,bcnode
Go,29,2,475,17,29,11,59456,156,https://github.com/bytom/vapor,bytom,vapor
Solidity,1,0,4,0,1,1,95,240,https://github.com/aquariusfi/contracts,aquariusfi,contracts
C++,30,0,4294,105,30,16,12131,99,https://github.com/42-coin/42,42-coin,42
"",5,0,4,0,5,2,89,1075,https://github.com/tratoktoken/smart-contracts,tratoktoken,smart-contracts
"",0,0,0,0,0,0,0,2459602,https://github.com/scullydev/nebulatoken,scullydev,nebulatoken
C++,3,4,1,0,3,17,1485,1902,https://github.com/inflationcoin/inflationcoin,inflationcoin,inflationcoin
C++,8,0,72,5,8,8,21322,983,https://github.com/carebitcoin/carebitcoin,carebitcoin,carebitcoin
Solidity,5,0,3,0,5,1,29,319,https://github.com/eddaswap/edda,eddaswap,edda
Solidity,0,0,2,0,0,0,8,61,https://github.com/srirachainu/smartcontract,srirachainu,smartcontract
C++,0,0,22,2,0,1,38986,428,https://github.com/laurobeleche/caluracoin,laurobeleche,caluracoin
Solidity,0,0,2,0,0,0,4,248,https://github.com/redorder/red-order-contract,redorder,red-order-contract
"",0,0,0,0,0,0,0,2459602,https://github.com/orgs/geodb-limited,orgs,geodb-limited
"",0,0,0,0,0,0,0,2459602,https://github.com/theunespied/zada-bsc,theunespied,zada-bsc
C++,4,1,17380,352,4,16,98400,459,https://github.com/ahmedbodi/quebecoin,ahmedbodi,quebecoin
C,53,14,373,7,53,25,3796,12,https://github.com/mochimodev/mochimo,mochimodev,mochimo
Solidity,0,0,2,0,0,0,27,217,https://github.com/sirathashimi/ethereum-pro,sirathashimi,ethereum-pro
Solidity,1,0,11,2,1,0,16,135,https://github.com/dreamrsunite/dreamrplatformtoken,dreamrsunite,dreamrplatformtoken
"",2,0,11,0,2,0,14,1029,https://github.com/electrumdark/electrum-dark-token,electrumdark,electrum-dark-token
"",1,0,4,0,1,0,7,1446,https://github.com/heartbout/smartcontract,heartbout,smartcontract
"",5,0,6,0,5,3,7,872,https://github.com/stakinglab/stakinglab,stakinglab,stakinglab
"",0,0,0,0,0,0,0,2459602,https://github.com/xnodevps-project/xnode,xnodevps-project,xnode
"",1,0,4,0,1,0,4,577,https://github.com/believercards/believer,believercards,believer
C++,10,0,16128,335,10,12,90816,53,https://github.com/birake/birakecoin,birake,birakecoin
"",0,0,0,0,0,0,0,2459602,https://github.com/developerjkcoin/smartcontract.git,developerjkcoin,smartcontract.git
Solidity,1,0,4,0,1,2,469,82,https://github.com/copuppy/cp,copuppy,cp
JavaScript,51,4,9,3,51,47,16,1411,https://github.com/firelotto/firelotto,firelotto,firelotto
JavaScript,49,25,4968,19,49,28,11794,8,https://github.com/ainblockchain/ain-blockchain,ainblockchain,ain-blockchain
"",0,0,4,0,0,0,7,1283,https://github.com/savetokenus/smart-contract,savetokenus,smart-contract
JavaScript,4,0,13,0,4,0,318,1467,https://github.com/boatpilotnavi/tge,boatpilotnavi,tge
Solidity,0,0,11,0,0,1,17,107,https://github.com/mcs-exchange/mcs-defi,mcs-exchange,mcs-defi
Solidity,0,0,2,0,0,0,40,289,https://github.com/pollofinance/pdollar-contracts,pollofinance,pdollar-contracts
C++,31,0,765,7,31,24,33618,322,https://github.com/neutroncoin/neutron,neutroncoin,neutron
"",0,0,0,0,0,0,0,2459602,https://github.com/yfnetworkdefi/yfnetworkdefi,yfnetworkdefi,yfnetworkdefi
C++,3,3,26,0,3,7,9452,556,https://github.com/freenetcoder/defis,freenetcoder,defis
C++,5,1,1,0,5,4,2620,1838,https://github.com/purevidz/vidzcoin,purevidz,vidzcoin
C++,15,4,16272,334,15,12,91147,1,https://github.com/trittium/trittium,trittium,trittium
C++,13,0,78,2,13,6,183320,1192,https://github.com/geysercoin/geysercoin,geysercoin,geysercoin
"",0,0,0,0,0,0,0,2459602,https://github.com/nftinderbsc/nftinderbsc,nftinderbsc,nftinderbsc
C++,254,40,17098,349,254,72,113117,48,https://github.com/raptor3um/raptoreum,raptor3um,raptoreum
"",0,0,3,0,0,2,6,1306,https://github.com/vikkyteam/vikkyico,vikkyteam,vikkyico
Solidity,0,0,3,0,0,0,583,91,https://github.com/jeritex-labs/smart-contracts,jeritex-labs,smart-contracts
"",0,0,1,0,0,0,4,88,https://github.com/minikishimoto/minikishimoto,minikishimoto,minikishimoto
JavaScript,3,0,13,2,3,3,72,1302,https://github.com/hashbx/token-distribution,hashbx,token-distribution
"",171,13,792,0,171,33,654496,0,https://github.com/solidproof/smart-contract-audits,solidproof,smart-contract-audits
JavaScript,0,0,4,2,0,0,195,918,https://github.com/anchorproject/anchor-tokens,anchorproject,anchor-tokens
Solidity,0,0,1,0,0,0,12,68,https://github.com/splashfun/splash,splashfun,splash
"",0,0,0,0,0,0,0,2459602,https://github.com/wxcoins/wxc-src,wxcoins,wxc-src
"",0,0,0,0,0,0,0,2459602,https://github.com/mirror-protocol/mirror-web-app,mirror-protocol,mirror-web-app
HTML,4,1,3,2,4,2,1765,178,https://github.com/ektaproject/ekta,ektaproject,ekta
C++,36,15,6513,221,36,19,127576,394,https://github.com/anoncoin/anoncoin,anoncoin,anoncoin
JavaScript,1,0,1,0,1,0,19907,1371,https://github.com/abulaba/aaa,abulaba,aaa
"",0,0,6,0,0,0,307,524,https://github.com/homihelp/smart-contract,homihelp,smart-contract
"",1,0,2,0,1,0,2,1242,https://github.com/cybermusicio/ico,cybermusicio,ico
C++,177,3,286,10,177,59,161124,665,https://github.com/achain-dev/achain,achain-dev,achain
"",0,0,0,0,0,0,0,2459602,https://github.com/venjocoin/vjc,venjocoin,vjc
"",0,0,0,0,0,0,0,2459602,https://github.com/vittominacori/erc20-generator,vittominacori,erc20-generator
TypeScript,0,0,83,2,0,0,6072,4,https://github.com/dogegf-token/dogegf,dogegf-token,dogegf
TypeScript,1,0,7,0,1,0,215,92,https://github.com/red-pill-dev/chim-chain,red-pill-dev,chim-chain
Solidity,10,1,8,0,10,8,283,217,https://github.com/whalefall-official/whalefall-core,whalefall-official,whalefall-core
C++,2,2,5505,18,2,3,32242,828,https://github.com/freenetcoder/grimm,freenetcoder,grimm
JavaScript,22,2,278,5,22,14,131947,109,https://github.com/travisbuilds/highstreet,travisbuilds,highstreet
Rust,1034,138,927,31,1034,97,9709,1,https://github.com/mobilecoinfoundation/mobilecoin,mobilecoinfoundation,mobilecoin
"",4,0,8,2,4,2,610,915,https://github.com/ubrica/ubricoin_contract,ubrica,ubricoin_contract
Solidity,38,1,26,3,38,9,180,236,https://github.com/popsicle-finance/contracts,popsicle-finance,contracts
"",2,0,11,0,2,0,14,1029,https://github.com/electrumdark/electrum-dark-token,electrumdark,electrum-dark-token
Solidity,0,0,1,0,0,0,13,96,https://github.com/miniflokiada/miniflokiada,miniflokiada,miniflokiada
Solidity,0,0,2,0,0,0,12,52,https://github.com/cryptogramplatform/cryptogram,cryptogramplatform,cryptogram
JavaScript,195,200,1906,54,195,127,109066,1,https://github.com/decred/decrediton,decred,decrediton
"",0,0,0,0,0,0,0,2459602,https://github.com/gstchain/gst,gstchain,gst
JavaScript,15,1,285,8,15,8,413,460,https://github.com/xfers/straitsx-tokens,xfers,straitsx-tokens
"",0,0,0,0,0,0,0,2459602,https://github.com/bistroo-nl/bistroo-contracts,bistroo-nl,bistroo-contracts
Rust,98,2,228,9,98,26,1247,148,https://github.com/blockworks-foundation/mango,blockworks-foundation,mango
C++,0,0,2,0,0,0,6226,149,https://github.com/ovatocoin/ovato-core,ovatocoin,ovato-core
TypeScript,0,0,44,2,0,0,628,118,https://github.com/runefarm/contracts,runefarm,contracts
Solidity,0,0,1,0,0,0,9,88,https://github.com/fafiio/famousfive,fafiio,famousfive
JavaScript,138,25,6282,21,138,117,166330,24,https://github.com/bitholla/hollaex-kit,bitholla,hollaex-kit
C++,129,1,21656,356,129,142,100348,204,https://github.com/feathercoin/feathercoin,feathercoin,feathercoin
Go,42,2,1784,8,42,11,16608,781,https://github.com/dxchainnetwork/godx,dxchainnetwork,godx
C++,131,18,210,15,131,67,52565,0,https://github.com/cygnusxi/curecoinsource,cygnusxi,curecoinsource
"",0,0,0,0,0,0,0,2459602,https://github.com/voltz-energy/token-distribution,voltz-energy,token-distribution
"",0,0,0,0,0,0,0,2459602,https://github.com/xtokenmarket/xtoken-js,xtokenmarket,xtoken-js
Solidity,120,5,84,8,120,43,227,1016,https://github.com/decentraland/mana,decentraland,mana
Solidity,1,0,29,0,1,0,4605,6,https://github.com/congruentlabs/sata-contracts-v1,congruentlabs,sata-contracts-v1
Go,2856,78,17424,102,2856,825,193914,0,https://github.com/smartcontractkit/chainlink,smartcontractkit,chainlink
C++,15,14,219,7,15,21,61265,1796,https://github.com/bitclubdev/clubcoin,bitclubdev,clubcoin
Solidity,8,0,4,0,8,15,25,273,https://github.com/shibacorp/bscshiba-contract,shibacorp,bscshiba-contract
Solidity,0,0,3,0,0,0,64,409,https://github.com/joshepjang/camp,joshepjang,camp
Solidity,3,0,9,2,3,1,162,411,https://github.com/prophetproject1/prophet-token,prophetproject1,prophet-token
JavaScript,50,49,933,12,50,21,5613,10,https://github.com/brave-intl/bat-ledger,brave-intl,bat-ledger
Solidity,0,0,39,3,0,0,473,46,https://github.com/lottrade/smartcontract,lottrade,smartcontract
TypeScript,0,1,1882,23,0,4,7986,7,https://github.com/stratisproject/cirruscore,stratisproject,cirruscore
"",0,0,0,0,0,0,0,2459602,https://github.com/eyestoken/eyes-erc20-token,eyestoken,eyes-erc20-token
C++,13,0,62,4,13,11,18596,430,https://github.com/genesis-x/genesis-x,genesis-x,genesis-x
"",0,0,4,0,0,0,2,452,https://github.com/upxide/nplc,upxide,nplc
C++,8,2,61,2,8,8,12345,605,https://github.com/crypto-currency/emerald,crypto-currency,emerald
C++,11,3,131,13,11,11,4270,460,https://github.com/aurovine/audiocoin,aurovine,audiocoin
C++,52,0,1807,19,52,27,66366,69,https://github.com/smartcash/core-smart,smartcash,core-smart
Solidity,1,0,2,0,1,0,14,233,https://github.com/ryandavern/rhythm,ryandavern,rhythm
C++,17,4,109,5,17,28,33573,841,https://github.com/photonproject/photon,photonproject,photon
Solidity,0,0,2,0,0,0,19,84,https://github.com/redzilla-token/redzilla,redzilla-token,redzilla
"",4,0,3,0,4,0,6,1264,https://github.com/iouico/iou,iouico,iou
Python,7,11,1,0,7,4,462,1551,https://github.com/muditgrover/4new-crowdsale,muditgrover,4new-crowdsale
"",4,0,33,0,4,1,85906,246,https://github.com/greenheartcbd/greenheart-cbd-project,greenheartcbd,greenheart-cbd-project
C++,16,1,35,5,16,19,7395,715,https://github.com/eternity-group/eternity,eternity-group,eternity
C++,8,0,3780,120,8,8,17158,16,https://github.com/lanacoin/lanacoin,lanacoin,lanacoin
Go,0,16,67,3,0,1,73838,772,https://github.com/abalabdev/axlcoin,abalabdev,axlcoin
CSS,0,0,1,0,0,0,4364,79,https://github.com/weenien/moonqueue,weenien,moonqueue
C++,17,0,4316,122,17,16,39890,330,https://github.com/limxtec/megacoin,limxtec,megacoin
Solidity,5,0,6,0,5,4,8,61,https://github.com/wolfsafepoorpeople/contract,wolfsafepoorpeople,contract
C++,1,0,230,0,1,2,5637,281,https://github.com/wmcorless/kema,wmcorless,kema
JavaScript,89,3,1238,9,89,37,11588,241,https://github.com/ripio/rcn-network,ripio,rcn-network
Solidity,0,0,2,0,0,0,13,60,https://github.com/theearthshiba/theearthshiba,theearthshiba,theearthshiba
TypeScript,0,0,36,0,0,0,7437,10,https://github.com/v-empire/vempire,v-empire,vempire
Solidity,0,0,1,0,0,0,4,80,https://github.com/islanddogestoken/island,islanddogestoken,island
C++,3,1,1,0,3,0,2532,1752,https://github.com/asphyxiating/atmostemp,asphyxiating,atmostemp
"",0,0,0,0,0,0,0,2459602,https://github.com/cashbackpro-cbp/cashbackpro,cashbackpro-cbp,cashbackpro
"",0,0,0,0,0,0,0,2459602,https://github.com/inexproject/inex_token.git,inexproject,inex_token.git
Pascal,60,6,1689,24,60,26,57163,30,https://github.com/pascalcoin/pascalcoin,pascalcoin,pascalcoin
TypeScript,2,1,5,0,2,1,4739,70,https://github.com/piggybankdao/piggybankdao,piggybankdao,piggybankdao
Solidity,0,0,2,0,0,0,76,256,https://github.com/soku-swap-project/soku_bep-20_flat,soku-swap-project,soku_bep-20_flat
Rust,136,79,2858,29,136,47,14448,8,https://github.com/witnet/witnet-rust,witnet,witnet-rust
"",4,1,36,0,4,1,27399,130,https://github.com/ramp-defi/ramp_security_audits,ramp-defi,ramp_security_audits
TypeScript,5,0,47,2,5,2,4031,81,https://github.com/circelpod/circlepod-protocol,circelpod,circlepod-protocol
Solidity,2,0,2,0,2,0,7,333,https://github.com/oxbull/oxbull.tech,oxbull,oxbull.tech
C++,0,1,12,0,0,5,3065,1179,https://github.com/jimblasko/xcoin,jimblasko,xcoin
Solidity,18,2,37,3,18,10,462,258,https://github.com/wardenswap/warden-farm,wardenswap,warden-farm
Solidity,545,94,5856,34,545,129,156720,1,https://github.com/unlock-protocol/unlock,unlock-protocol,unlock
"",1,0,1,0,1,1,6,925,https://github.com/fesschain/ethereum-smart-contract,fesschain,ethereum-smart-contract
"",0,0,0,0,0,0,0,2459602,https://github.com/leadwallet/leadtoken.git,leadwallet,leadtoken.git
Solidity,0,0,1,0,0,0,1,81,https://github.com/nowl-age/nac,nowl-age,nac
JavaScript,5,2,15,2,5,9,342,515,https://github.com/carlsbad-sunshine/lid-contracts,carlsbad-sunshine,lid-contracts
Solidity,0,0,1,0,0,0,8,59,https://github.com/rayonsenergy/rayonsenergy,rayonsenergy,rayonsenergy
JavaScript,13,11,70,6,13,17,2087,33,https://github.com/switcheo/zilswap,switcheo,zilswap
"",0,0,3,0,0,0,6,287,https://github.com/cryptowater-si/cryptowaterieo-erc20,cryptowater-si,cryptowaterieo-erc20
Solidity,0,0,2,0,0,0,15,71,https://github.com/jrshiba/smartcontract,jrshiba,smartcontract
TypeScript,1,4,454,4,1,2,10654,2,https://github.com/shieldfinancehq/contracts,shieldfinancehq,contracts
C,6,0,29,11,6,18,7433,88,https://github.com/titancoinproject/titan,titancoinproject,titan
Solidity,0,0,1,0,0,0,6,339,https://github.com/whaleroom/whaleroom,whaleroom,whaleroom
Solidity,1,0,1,0,1,0,18,179,https://github.com/arenaswap/pyramid-contracts,arenaswap,pyramid-contracts
JavaScript,0,1,946,224,0,0,9754,1269,https://github.com/igniteigt/token-profile,igniteigt,token-profile
JavaScript,0,0,1,0,0,0,119,403,https://github.com/nlpul/marx-erc20,nlpul,marx-erc20
Solidity,0,0,1,0,0,0,7,282,https://github.com/bscgold/bscg,bscgold,bscg
C++,12,0,34,0,12,3,12320,1465,https://github.com/carboncointrust/carboncoincore,carboncointrust,carboncoincore
Go,178,20,3346,32,178,55,30172,268,https://github.com/fantom-foundation/go-lachesis,fantom-foundation,go-lachesis
Solidity,3,0,3,0,3,1,10,103,https://github.com/babydefido/babydefido,babydefido,babydefido
Solidity,0,0,2,0,0,0,6,222,https://github.com/ballbagtoken/ballbagtoken,ballbagtoken,ballbagtoken
C++,3,0,1,0,3,1,9134,1113,https://github.com/artinvest/allsafe,artinvest,allsafe
"",0,0,0,0,0,0,0,2459602,https://github.com/1irstgold/1irstgold,1irstgold,1irstgold
Solidity,3,0,4,0,3,2,13,290,https://github.com/charitas-fund/charitas-protocol,charitas-fund,charitas-protocol
Solidity,150,22,254,11,150,78,4386,4,https://github.com/venusprotocol/venus-protocol,venusprotocol,venus-protocol
C++,12,18,41,0,12,17,4744,1518,https://github.com/unitcurrency/unitcurrency,unitcurrency,unitcurrency
Solidity,0,0,1,0,0,0,7,70,https://github.com/royalflushcoinbr/royalflushcoin,royalflushcoinbr,royalflushcoin
C++,34,16,247,10,34,43,12596,835,https://github.com/quark-project/quark,quark-project,quark
"",0,0,4,0,0,0,7,1283,https://github.com/savetokenus/smart-contract,savetokenus,smart-contract
Solidity,1,0,4,0,1,2,24,159,https://github.com/antexchange/antex-token,antexchange,antex-token
Solidity,15,0,2,2,15,3,290,410,https://github.com/plasmadlt/ppay-governance,plasmadlt,ppay-governance
TypeScript,4,2,497,5,4,4,14705,83,https://github.com/bloxapp/ssv-web,bloxapp,ssv-web
Solidity,0,0,1,0,0,0,11,238,https://github.com/autztoken/autz,autztoken,autz
"",0,0,2,0,0,0,4,298,https://github.com/doren-project/doren,doren-project,doren
"",0,0,1,0,0,0,4,982,https://github.com/guiderdev/token,guiderdev,token
C++,8,0,2,2,8,8,187406,42,https://github.com/jahvinci/motacoin,jahvinci,motacoin
"",1,0,1,0,1,0,5,284,https://github.com/srnartgallery/sista,srnartgallery,sista
Solidity,38,16,245,6,38,10,2084,8,https://github.com/unitprotocol/core,unitprotocol,core
JavaScript,6,0,212,6,6,2,1468,324,https://github.com/nominex/eth-smart-contracts,nominex,eth-smart-contracts
"",0,0,4,0,0,1,4,1568,https://github.com/adamyusfan/balicoin,adamyusfan,balicoin
C++,28,27,377,9,28,8,5075,198,https://github.com/bigbangcore/bigbang,bigbangcore,bigbang
Solidity,4,0,3,0,4,4,369,324,https://github.com/boltdollar/boltdollar-contracts,boltdollar,boltdollar-contracts
"",2,0,3,0,2,3,2,551,https://github.com/amepay/ametoken,amepay,ametoken
"",3,0,7,0,3,0,1961,246,https://github.com/jennymetaverse/litepaper,jennymetaverse,litepaper
C++,2,1,20,0,2,4,139656,1455,https://github.com/bankcoin18/bankcoin,bankcoin18,bankcoin
"",0,1,39,2,0,2,58,64,https://github.com/asiax1/asia-exchange,asiax1,asia-exchange
Solidity,0,1,17,0,0,0,636,52,https://github.com/americandreamtoken/americandream,americandreamtoken,americandream
"",1,0,2,0,1,2,6,604,https://github.com/evztech/evz_contract,evztech,evz_contract
"",3,0,7,0,3,0,1961,246,https://github.com/jennymetaverse/litepaper,jennymetaverse,litepaper
Solidity,13,6,261,7,13,11,1329,7,https://github.com/nimbusplatformorg/nim-smartcontract,nimbusplatformorg,nim-smartcontract
Solidity,2,0,38,2,2,3,198,242,https://github.com/etherland/eland,etherland,eland
C++,2,0,19,2,2,1,8329,494,https://github.com/roiyalcoin/roiyalcoin,roiyalcoin,roiyalcoin
C++,6,1,443,16,6,6,29493,283,https://github.com/bitcore-btx/bitcore,bitcore-btx,bitcore
JavaScript,650,15,2429,12,650,124,13455,79,https://github.com/rocket-pool/rocketpool,rocket-pool,rocketpool
TypeScript,11,1,35,3,11,3,1674,221,https://github.com/stakehound/stakehound-core,stakehound,stakehound-core
"",11,3,10,2,11,3,118,556,https://github.com/ethereansos/organizations-core,ethereansos,organizations-core
C++,1,0,2,2,1,1,2172,1228,https://github.com/socialcoinnetwk/socialcoin,socialcoinnetwk,socialcoin
"",0,0,0,0,0,0,0,2459602,https://github.com/universalflokibsc/universalfloki,universalflokibsc,universalfloki
C++,0,0,53,0,0,1,15547,751,https://github.com/zer-dex-coin/zerdex-core,zer-dex-coin,zerdex-core
JavaScript,2,0,7,0,2,0,22,687,https://github.com/ethereumgoldetg/etgp,ethereumgoldetg,etgp
"",1,0,5,0,1,0,11,83,https://github.com/babysquidgameofficial/babysquidgame,babysquidgameofficial,babysquidgame
Scala,9,0,709,5,9,5,4882,563,https://github.com/iot-block/iotchain,iot-block,iotchain
"",0,0,0,0,0,0,0,2459602,https://github.com/tetsuyasaito80/nftpunk.finance,tetsuyasaito80,nftpunk.finance
"",0,0,1,0,0,0,1461,59,https://github.com/flipstarofficial/flipstar,flipstarofficial,flipstar
