language,watchers_count,open_issues_count,commit_count,contributors_count,stars_count,forks_count,size,days_since_last_commit,source_code_url,owner,repo
TypeScript,3,0,31,2,3,1,2293,123,https://github.com/blockben-official/ebso,blockben-official,ebso
Solidity,3,2,28,3,3,2,1885,18,https://github.com/annexfinance/annex-protocol,annexfinance,annex-protocol
"",0,0,2,0,0,0,12,68,https://github.com/sertoken/sertoken,sertoken,sertoken
Solidity,0,0,2,0,0,0,16,211,https://github.com/bimpfinance/bimp.finance,bimpfinance,bimp.finance
"",0,0,0,0,0,0,0,2459602,https://github.com/metamorphpro/metamorph-lite,metamorphpro,metamorph-lite
Solidity,11,0,4,0,11,5,21,375,https://github.com/marsfi/powtoken,marsfi,powtoken
"",0,0,0,0,0,0,0,2459602,https://github.com/blockaudit-report/underminegold,blockaudit-report,underminegold
C++,0,0,44,0,0,0,27857,890,https://github.com/merciproject/merci,merciproject,merci
Solidity,0,0,1,0,0,0,18,84,https://github.com/warlockbnb/warlock,warlockbnb,warlock
"",0,0,0,0,0,0,0,2459602,https://github.com/diamondshiba/diamondshiba,diamondshiba,diamondshiba
"",14,2,2,2,14,8,3,1900,https://github.com/blockcdnteam/bcdnico,blockcdnteam,bcdnico
C++,1,1,75,3,1,3,6921,2236,https://github.com/ratecoinxra/ratecoin,ratecoinxra,ratecoin
JavaScript,0,0,2,2,0,1,390,107,https://github.com/fit-beat/creating-new-standard,fit-beat,creating-new-standard
Solidity,0,11,19,2,0,0,2523,778,https://github.com/pawtocol/token,pawtocol,token
"",0,0,2,0,0,0,12,586,https://github.com/softbrain1472/balloon-x,softbrain1472,balloon-x
"",0,0,1,0,0,0,4,1174,https://github.com/tenaprotocol/contract,tenaprotocol,contract
"",0,0,0,0,0,0,0,2459602,https://github.com/tomochain/luaswap,tomochain,luaswap
C,1,0,2,0,1,2,3311,2004,https://github.com/aces-coin/acescoin,aces-coin,acescoin
"",0,0,2,0,0,0,12,586,https://github.com/softbrain1472/balloon-x,softbrain1472,balloon-x
C++,6,1,47,2,6,1,17946,656,https://github.com/elcrebel/merebel,elcrebel,merebel
Solidity,0,0,3,0,0,1,10,229,https://github.com/emmanbol/solar_wind,emmanbol,solar_wind
"",6,0,8,0,6,3,9,1516,https://github.com/xaurumteam/xaurumonethereum,xaurumteam,xaurumonethereum
"",4,3,26,0,4,0,28,942,https://github.com/bitciteknoloji/coin-api-docs,bitciteknoloji,coin-api-docs
C++,15,3,16243,355,15,9,78359,335,https://github.com/freecashorg/freecash,freecashorg,freecash
TypeScript,65,4,112,8,65,17,678,8,https://github.com/orca-so/typescript-sdk,orca-so,typescript-sdk
C#,20,10,377,7,20,18,815,10,https://github.com/stratisproject/cirrussmartcontracts,stratisproject,cirrussmartcontracts
"",4,1,4,2,4,1,30,319,https://github.com/golemfactory/golem,golemfactory,golem
"",0,0,0,0,0,0,0,2459602,https://github.com/iridiumdev/iridium,iridiumdev,iridium
Solidity,0,0,5,0,0,0,38,202,https://github.com/mcontent-v2/mcontent,mcontent-v2,mcontent
C++,2,0,11845,299,2,2,89956,554,https://github.com/digidinar-project/digidinar,digidinar-project,digidinar
Solidity,1,0,71,0,1,2,481,19,https://github.com/rock-n-block/audit,rock-n-block,audit
Solidity,8,0,1,0,8,2,295,324,https://github.com/bigdataprotocol/bdp-contracts,bigdataprotocol,bdp-contracts
"",0,0,0,0,0,0,0,2459602,https://github.com/dogelanaio/token-list,dogelanaio,token-list
"",0,0,1,0,0,0,1,316,https://github.com/uswap-me/eft,uswap-me,eft
"",0,0,0,0,0,0,0,2459602,https://github.com/atoo388/apple.network,atoo388,apple.network
"",3580,2,1,0,3580,2037,1,397,https://github.com/binance-exchange/binance-official-api-docs,binance-exchange,binance-official-api-docs
C++,4,0,16115,336,4,6,145125,83,https://github.com/decenomy/pny,decenomy,pny
"",0,0,0,0,0,0,0,2459602,https://github.com/tirumalisaiteja/space-iz,tirumalisaiteja,space-iz
"",27,0,487,0,27,10,388251,0,https://github.com/interfinetwork/smart-contract-audits,interfinetwork,smart-contract-audits
Solidity,3,0,13,0,3,0,33,113,https://github.com/fairtokenproject/contracts,fairtokenproject,contracts
Go,1,0,12880,416,1,0,167075,54,https://github.com/gnc-project/galaxynetwork,gnc-project,galaxynetwork
"",0,0,0,0,0,0,0,2459602,https://github.com/litecoin-sv/litecoin-sv,litecoin-sv,litecoin-sv
C++,11,0,87,8,11,7,6124,35,https://github.com/myceworld/myce,myceworld,myce
Solidity,0,0,3,0,0,0,16,54,https://github.com/triplenick/bepis_token,triplenick,bepis_token
"",0,0,0,0,0,0,0,2459602,https://github.com/nixplatform/nixcore,nixplatform,nixcore
C++,0,0,13457,347,0,0,54974,151,https://github.com/psionin/smartcoin,psionin,smartcoin
"",0,0,0,0,0,0,0,2459602,https://github.com/idni/tau,idni,tau
Solidity,0,0,2,0,0,0,18,220,https://github.com/falafeltoken/falafellsmartcontract,falafeltoken,falafellsmartcontract
"",0,0,0,0,0,0,0,2459602,https://github.com/ankr-network/stkr-smartcontract-public,ankr-network,stkr-smartcontract-public
C++,287,0,3831,111,287,183,65221,205,https://github.com/okcashpro/okcash,okcashpro,okcash
Solidity,0,0,4,0,0,0,13,187,https://github.com/saunafinance/sauna_finance_token,saunafinance,sauna_finance_token
Solidity,0,0,1,0,0,0,12,487,https://github.com/uquid/shoppingstake,uquid,shoppingstake
"",3,0,2,0,3,1,3,1229,https://github.com/neuralprotocol/nrpsmartcontract,neuralprotocol,nrpsmartcontract
TypeScript,6,0,12,0,6,8,71,173,https://github.com/positionexchange/position-token,positionexchange,position-token
Solidity,0,0,1,0,0,0,197,69,https://github.com/infinitelaunch/smart-contracts,infinitelaunch,smart-contracts
"",0,0,0,0,0,0,0,2459602,https://github.com/farmplanet/farmplanet,farmplanet,farmplanet
C++,60,6,15615,332,60,23,172442,246,https://github.com/rapidsofficial/rapids,rapidsofficial,rapids
Solidity,37,1,6,0,37,5,3123,242,https://github.com/safemooncash/safemooncash,safemooncash,safemooncash
JavaScript,18,1,6,0,18,13,61,1354,https://github.com/bankera-token/bnk-eth-contract,bankera-token,bnk-eth-contract
JavaScript,13,6,34,0,13,13,7969,39,https://github.com/arterynetwork/artr,arterynetwork,artr
Solidity,1,0,6,0,1,0,533,223,https://github.com/zildfinance/zild_lend,zildfinance,zild_lend
"",0,0,0,0,0,0,0,2459602,https://github.com/mybitfoundation/mybitdapp,mybitfoundation,mybitdapp
"",0,0,26,2,0,0,382,6,https://github.com/mfactory-lab/jpool-pub,mfactory-lab,jpool-pub
"",0,0,0,0,0,0,0,2459602,https://github.com/globalcurrencyreserve/gcr,globalcurrencyreserve,gcr
C++,5,1,2,0,5,0,11663,187,https://github.com/hydrus7/jdcoin,hydrus7,jdcoin
Solidity,3,0,22,0,3,2,56,14,https://github.com/ihc-token/token-source-code,ihc-token,token-source-code
Solidity,0,1,147,3,0,3,474,156,https://github.com/atteqcom/meme-contracts,atteqcom,meme-contracts
Solidity,368,13,172,12,368,119,718,299,https://github.com/keep3r-network/keep3r.network,keep3r-network,keep3r.network
"",0,0,26,2,0,0,382,6,https://github.com/mfactory-lab/jpool-pub,mfactory-lab,jpool-pub
Solidity,2,0,2,0,2,0,3,235,https://github.com/dcoinfo/xiglutecoin-xgc-,dcoinfo,xiglutecoin-xgc-
C++,3,0,4,0,3,1,3597,1189,https://github.com/skyhubs/skyhub,skyhubs,skyhub
Solidity,10,1,1,0,10,4,24,215,https://github.com/thoreumfinance/contracts,thoreumfinance,contracts
"",0,0,3,0,0,0,2,951,https://github.com/servidorescloud/mdtoken,servidorescloud,mdtoken
"",0,0,0,0,0,0,0,2459602,https://github.com/orgs/faceterteam,orgs,faceterteam
C++,1,1,9,0,1,4,4179,1754,https://github.com/flikkaflak/blazercoin,flikkaflak,blazercoin
Solidity,0,0,2,0,0,0,4,429,https://github.com/treeclegitadmin/treeclesolcode,treeclegitadmin,treeclesolcode
C++,4,0,7,0,4,1,64522,31,https://github.com/blackhatcoin/blackhatwallet,blackhatcoin,blackhatwallet
"",0,0,0,0,0,0,0,2459602,https://github.com/official-keys-token/keys-token,official-keys-token,keys-token
"",0,0,0,0,0,0,0,2459602,https://github.com/blank-wallet/blank-token,blank-wallet,blank-token
Solidity,2,1,3,0,2,3,322,341,https://github.com/trustfractal/erc20-token-deployment,trustfractal,erc20-token-deployment
"",0,0,0,0,0,0,0,2459602,https://github.com/frogzillabsc/frogzilla,frogzillabsc,frogzilla
JavaScript,0,0,5,2,0,0,37663,1237,https://github.com/kindads/platform,kindads,platform
C++,6,0,7,0,6,10,11619,1240,https://github.com/bitcoinote/bitcoinote-core,bitcoinote,bitcoinote-core
C++,2,1,104,7,2,0,15588,361,https://github.com/rougecoin-project/rougecoin,rougecoin-project,rougecoin
JavaScript,0,2,5,0,0,0,419,903,https://github.com/swace/swace-contracts,swace,swace-contracts
"",3,0,2,0,3,1,3,1229,https://github.com/neuralprotocol/nrpsmartcontract,neuralprotocol,nrpsmartcontract
"",1,0,2,0,1,0,9,55,https://github.com/chickenzillaclub/chickenzillatoken,chickenzillaclub,chickenzillatoken
C++,14,0,35,3,14,11,8071,1208,https://github.com/plusonecoin/plusonecoin,plusonecoin,plusonecoin
"",0,0,1,0,0,0,6,88,https://github.com/babyxape/docs,babyxape,docs
C++,2,0,102,5,2,3,15992,74,https://github.com/cntemple/citadel,cntemple,citadel
TypeScript,46,4,5813,194,46,13,38928,2633,https://github.com/bitzeny/bitzeny,bitzeny,bitzeny
HTML,30,4,26,0,30,9,242,145,https://github.com/0xmons/0xmons-contracts-new,0xmons,0xmons-contracts-new
Solidity,2,0,89,0,2,0,98072,9,https://github.com/gridzone/gridzone-governance,gridzone,gridzone-governance
Go,26,17,2679,19,26,9,39184,4,https://github.com/kardiachain/go-kardia,kardiachain,go-kardia
"",0,0,6,0,0,0,9,884,https://github.com/xeonbit-project/xeonbittokenxns,xeonbit-project,xeonbittokenxns
"",0,0,0,0,0,0,0,2459602,https://github.com/lucky1tokens/luck1ytoken,lucky1tokens,luck1ytoken
"",0,0,0,0,0,0,0,2459602,https://github.com/seasons-corp/witch-token,seasons-corp,witch-token
Solidity,5,0,19,3,5,0,65,234,https://github.com/moonfarmfinance/contracts,moonfarmfinance,contracts
Solidity,2,0,9,0,2,1,102,301,https://github.com/lemurfinance/lemurfinance,lemurfinance,lemurfinance
"",0,0,0,0,0,0,0,2459602,https://github.com/nearprotocol/nearcore,nearprotocol,nearcore
"",0,0,1,0,0,0,1,890,https://github.com/refork-org/efk-smart_contract,refork-org,efk-smart_contract
Solidity,0,0,1,0,0,0,7,220,https://github.com/hachiko-inu/hachikoinu-erc20,hachiko-inu,hachikoinu-erc20
Solidity,0,0,10,0,0,1,1141,313,https://github.com/bscrunnerdefi/bscrunner,bscrunnerdefi,bscrunner
"",1,0,4,0,1,0,7,1316,https://github.com/comiketcoindev/comiketcoin,comiketcoindev,comiketcoin
C++,3,3,2,0,3,0,6996,2470,https://github.com/californium/californium,californium,californium
JavaScript,15,16,937,12,15,10,2312,404,https://github.com/plotx/smart-contracts,plotx,smart-contracts
Solidity,7,0,1,0,7,0,33,322,https://github.com/ramifiprotocol/contracts,ramifiprotocol,contracts
"",0,0,0,0,0,0,0,2459602,https://github.com/profitbls/profit.sol,profitbls,profit.sol
Go,112,15,576,4,112,57,31399,114,https://github.com/ttceco/gttc,ttceco,gttc
Solidity,1,0,5,0,1,0,63,206,https://github.com/yearnclassic/earnx,yearnclassic,earnx
"",0,0,3,0,0,0,2,639,https://github.com/stpay/contract,stpay,contract
"",0,0,0,0,0,0,0,2459602,https://github.com/binance8/b8-core,binance8,b8-core
Solidity,0,0,3,0,0,2,10,318,https://github.com/uhive/uhive_token_v2,uhive,uhive_token_v2
C++,56,24,6981,200,56,47,145741,50,https://github.com/aeonix/aeon,aeonix,aeon
C++,44,7,7194,190,44,14,186356,227,https://github.com/uplexa/uplexa,uplexa,uplexa
Solidity,1,0,1,0,1,0,25,153,https://github.com/gainprotocol/smartcontract,gainprotocol,smartcontract
Solidity,0,0,2,0,0,3,1,339,https://github.com/qiswap/qitoken,qiswap,qitoken
C++,2,1,14,0,2,3,27297,1355,https://github.com/quasarcoin/quasar,quasarcoin,quasar
C++,3,0,3,0,3,0,3640,1877,https://github.com/iconictoken/iconic,iconictoken,iconic
C++,1,1,130,3,1,6,42319,472,https://github.com/nyerium-core/nyerium,nyerium-core,nyerium
Solidity,0,0,31,0,0,1,401,30,https://github.com/official22moon/2022moon,official22moon,2022moon
Python,56,20,5071,83,56,23,28319,32,https://github.com/hiveproject2021/chives-blockchain,hiveproject2021,chives-blockchain
Python,1831,360,12296,77,1831,384,32287,9,https://github.com/raiden-network/raiden,raiden-network,raiden
"",0,0,0,0,0,0,0,2459602,https://github.com/qrkita/qrkitatoken.sol,qrkita,qrkitatoken.sol
Solidity,0,0,1,0,0,2,4,230,https://github.com/kits-github/gembites,kits-github,gembites
C++,5,0,25,3,5,5,4271,697,https://github.com/energycoinproject/energycoin,energycoinproject,energycoin
"",0,0,2,0,0,2,3,978,https://github.com/asyagro/asy,asyagro,asy
Solidity,6,1,11,0,6,4,40,295,https://github.com/cafeswap/cafeswap-farm,cafeswap,cafeswap-farm
"",1,0,5,0,1,1,22,143,https://github.com/frenchconnected/fcf,frenchconnected,fcf
"",0,0,0,0,0,0,0,2459602,https://github.com/setprotocol/set-v2,setprotocol,set-v2
C++,3,0,26,3,3,3,18978,1447,https://github.com/bitstar/bitstar,bitstar,bitstar
JavaScript,8,1,103,5,8,12,1586,25,https://github.com/snowfork/btrst-contracts,snowfork,btrst-contracts
C++,128,0,2353,16,128,69,42697,153,https://github.com/sumoprojects/sumokoin,sumoprojects,sumokoin
C++,0,3,93,2,0,0,80414,22,https://github.com/trumpcoinsupport/trumpcoin,trumpcoinsupport,trumpcoin
Solidity,1,0,12,0,1,1,235,47,https://github.com/baofinance/polly-contracts,baofinance,polly-contracts
Solidity,0,0,3,2,0,0,16615,221,https://github.com/pact-community/pact,pact-community,pact
"",0,0,0,0,0,0,0,2459602,https://github.com/survivingsoldiers/surviving-soldiers,survivingsoldiers,surviving-soldiers
"",6,1,3,2,6,5,4,905,https://github.com/conflux-chain/fc-contract,conflux-chain,fc-contract
Solidity,13,0,17,2,13,3,412,124,https://github.com/angleprotocol/angle-interfaces,angleprotocol,angle-interfaces
"",4,1,30,2,4,4,46006,263,https://github.com/piotrreeqq/eswapping-limitbot-bsc,piotrreeqq,eswapping-limitbot-bsc
"",1,0,2,0,1,0,6,1223,https://github.com/cybermoviechain/ico,cybermoviechain,ico
JavaScript,1,8,1,0,1,1,905,919,https://github.com/dabanking/dabanking,dabanking,dabanking
Scala,112,21,6848,43,112,48,70878,1,https://github.com/virtualeconomy/v-systems,virtualeconomy,v-systems
C++,3,3,11959,349,3,5,31312,1230,https://github.com/ixcore/ixcoin,ixcore,ixcoin
"",1,0,1,0,1,1,12,113,https://github.com/bnbcash/bnbchfinal,bnbcash,bnbchfinal
Solidity,6,0,5,0,6,0,7,135,https://github.com/thetanarena/thetan-token,thetanarena,thetan-token
Solidity,4,0,1,0,4,0,2,425,https://github.com/handypick/token,handypick,token
"",2,0,1,0,2,1,7,240,https://github.com/keisukeinu/hinainu,keisukeinu,hinainu
JavaScript,153,52,455,10,153,102,40376,33,https://github.com/bepronetwork/bepro-js,bepronetwork,bepro-js
TypeScript,7,2,60,3,7,3,855,347,https://github.com/umbrella-network/overture,umbrella-network,overture
C++,15,0,8087,263,15,2,143512,8,https://github.com/infinitecoin-project/infinitecoin,infinitecoin-project,infinitecoin
Java,76,35,2814,12,76,35,14086,261,https://github.com/semuxproject/semux-core,semuxproject,semux-core
Solidity,5,0,2,0,5,3,11,290,https://github.com/safesunprotocol/safesun,safesunprotocol,safesun
"",0,0,3,0,0,3,24,505,https://github.com/bitbns-official/bns-defi,bitbns-official,bns-defi
JavaScript,8,0,10,2,8,26,1227,66,https://github.com/enjinstarter/enjinstarter-tge-contracts,enjinstarter,enjinstarter-tge-contracts
"",0,0,0,0,0,0,0,2459602,https://github.com/v-id/v-id-token,v-id,v-id-token
C,14,4,2946,40,14,18,163403,570,https://github.com/indexchain/index,indexchain,index
Solidity,1,0,3,0,1,1,13,284,https://github.com/wenmoontoken/wenmoontoken,wenmoontoken,wenmoontoken
Solidity,0,0,4,0,0,0,15,211,https://github.com/silverstonks/silverstonks,silverstonks,silverstonks
Go,32,28,926,6,32,7,45495,40,https://github.com/e-money/em-ledger,e-money,em-ledger
Solidity,4,0,139,0,4,1,2080,54,https://github.com/xion-global/xionfinance_smartcontract,xion-global,xionfinance_smartcontract
C++,4531,1001,15525,342,4531,1881,87007,10,https://github.com/zcash/zcash,zcash,zcash
C++,0,0,2,0,0,0,4467,2236,https://github.com/avatarcoin/avatarcoin,avatarcoin,avatarcoin
"",0,0,0,0,0,0,0,2459602,https://github.com/dragongoldhelp/dragon.gold,dragongoldhelp,dragon.gold
"",0,0,1,0,0,1,2,716,https://github.com/castweet/ctt-contract,castweet,ctt-contract
C++,32,5,2177,5,32,27,22637,250,https://github.com/aurarad/auroracoin,aurarad,auroracoin
